country,lvl1,lvl2,lvl3
Brasil,Minas Gerais,Alto Jequitibá,
Brasil,Piauí,Alto Longá,
Brasil,Mato Grosso,Alto Paraguai,
Brasil,Paraná,Alto Paraíso,
Brasil,Rondônia,Alto Paraíso,
Brasil,Goiás,Alto Paraíso de Goiás,
Brasil,Paraná,Alto Paraná,
Brasil,Maranhão,Alto Parnaíba,
Brasil,Paraná,Alto Piquiri,
Brasil,Minas Gerais,Alto Rio Doce,
Brasil,Espírito Santo,Alto Rio Novo,
Brasil,Ceará,Alto Santo,
Brasil,Mato Grosso,Alto Taquari,
Brasil,Paraná,Altônia,
Brasil,Piauí,Altos,
Brasil,São Paulo,Alumínio,
Brasil,Amazonas,Alvarães,
Brasil,Minas Gerais,Alvarenga,
Brasil,São Paulo,Álvares Florence,
Brasil,São Paulo,Álvares Machado,
Brasil,São Paulo,Álvaro de Carvalho,
Brasil,São Paulo,Alvinlândia,
Brasil,Minas Gerais,Alvinópolis,
Brasil,Tocantins,Alvorada,
Brasil,Rio Grande do Sul,Alvorada,
Brasil,Rondônia,Alvorada D'Oeste,
Brasil,Minas Gerais,Alvorada de Minas,
Brasil,Piauí,Alvorada do Gurguéia,
Brasil,Goiás,Alvorada do Norte,
Brasil,Paraná,Alvorada do Sul,
Brasil,Roraima,Amajari,
Brasil,Mato Grosso do Sul,Amambai,
Brasil,Amapá,Amapá,
Brasil,Maranhão,Amapá do Maranhão,
Brasil,Paraná,Amaporã,
Brasil,Pernambuco,Amaraji,
Brasil,Rio Grande do Sul,Amaral Ferrador,
Brasil,Goiás,Amaralina,
Brasil,Piauí,Amarante,
Brasil,Maranhão,Amarante do Maranhão,
Brasil,Bahia,Amargosa,
Brasil,Amazonas,Amaturá,
Brasil,Bahia,Amélia Rodrigues,
Brasil,Bahia,América Dourada,
Brasil,São Paulo,Americana,
Brasil,Goiás,Americano do Brasil,
Brasil,São Paulo,Américo Brasiliense,
Brasil,São Paulo,Américo de Campos,
Brasil,Rio Grande do Sul,Ametista do Sul,
Brasil,Ceará,Amontada,
Brasil,Goiás,Amorinópolis,
Brasil,Paraíba,Amparo,
Brasil,São Paulo,Amparo,
Brasil,Sergipe,Amparo de São Francisco,
Brasil,Minas Gerais,Amparo do Serra,
Brasil,Paraná,Ampére,
Brasil,Alagoas,Anadia,
Brasil,Bahia,Anagé,
Brasil,Paraná,Anahy,
Brasil,Pará,Anajás,
Brasil,Maranhão,Anajatuba,
Brasil,São Paulo,Analândia,
Brasil,Amazonas,Anamã,
Brasil,Tocantins,Ananás,
Brasil,Pará,Ananindeua,
Brasil,Goiás,Anápolis,
Brasil,Pará,Anapu,
Brasil,Maranhão,Anapurus,
Brasil,Mato Grosso do Sul,Anastácio,
Brasil,Mato Grosso do Sul,Anaurilândia,
Brasil,Santa Catarina,Anchieta,
Brasil,Espírito Santo,Anchieta,
Brasil,Bahia,Andaraí,
Brasil,Paraná,Andirá,
Brasil,Bahia,Andorinha,
Brasil,Minas Gerais,Andradas,
Brasil,São Paulo,Andradina,
Brasil,Rio Grande do Sul,André da Rocha,
Brasil,Minas Gerais,Andrelândia,
Brasil,São Paulo,Angatuba,
Brasil,Minas Gerais,Angelândia,
Brasil,Mato Grosso do Sul,Angélica,
Brasil,Pernambuco,Angelim,
Brasil,Santa Catarina,Angelina,
Brasil,Bahia,Angical,
Brasil,Piauí,Angical do Piauí,
Brasil,Tocantins,Angico,
Brasil,Rio Grande do Norte,Angicos,
Brasil,Rio de Janeiro,Angra dos Reis,
Brasil,Bahia,Anguera,
Brasil,Paraná,Ângulo,
Brasil,Goiás,Anhanguera,
Brasil,São Paulo,Anhembi,
Brasil,São Paulo,Anhumas,
Brasil,Goiás,Anicuns,
Brasil,Piauí,Anísio de Abreu,
Brasil,Santa Catarina,Anita Garibaldi,
Brasil,Santa Catarina,Anitápolis,
Brasil,Amazonas,Anori,
Brasil,Rio Grande do Sul,Anta Gorda,
Brasil,Bahia,Antas,
Brasil,Paraná,Antonina,
Brasil,Ceará,Antonina do Norte,
Brasil,Piauí,Antônio Almeida,
Brasil,Bahia,Antônio Cardoso,
Brasil,Santa Catarina,Antônio Carlos,
Brasil,Minas Gerais,Antônio Carlos,
Brasil,Minas Gerais,Antônio Dias,
Brasil,Bahia,Antônio Gonçalves,
Brasil,Mato Grosso do Sul,Antônio João,
Brasil,Rio Grande do Norte,Antônio Martins,
Brasil,Paraná,Antônio Olinto,
Brasil,Rio Grande do Sul,Antônio Prado,
Brasil,Minas Gerais,Antônio Prado de Minas,
Brasil,Paraíba,Aparecida,
Brasil,São Paulo,Aparecida,
Brasil,São Paulo,Aparecida d'Oeste,
Brasil,Goiás,Aparecida de Goiânia,
Brasil,Goiás,Aparecida do Rio Doce,
Brasil,Tocantins,Aparecida do Rio Negro,
Brasil,Mato Grosso do Sul,Aparecida do Taboado,
Brasil,Rio de Janeiro,Aperibé,
Brasil,Espírito Santo,Apiacá,
Brasil,Mato Grosso,Apiacás,
Brasil,São Paulo,Apiaí,
Brasil,Maranhão,Apicum-Açu,
Brasil,Santa Catarina,Apiúna,
Brasil,Rio Grande do Norte,Apodi,
Brasil,Bahia,Aporá,
Brasil,Goiás,Aporé,
Brasil,Bahia,Apuarema,
Brasil,Paraná,Apucarana,
Brasil,Amazonas,Apuí,
Brasil,Ceará,Apuiarés,
Brasil,Sergipe,Aquidabã,
Brasil,Mato Grosso do Sul,Aquidauana,
Brasil,Ceará,Aquiraz,
Brasil,Santa Catarina,Arabutã,
Brasil,Paraíba,Araçagi,
Brasil,Minas Gerais,Araçaí,
Brasil,Sergipe,Aracaju,
Brasil,São Paulo,Araçariguama,
Brasil,Bahia,Araças,
Brasil,Ceará,Aracati,
Brasil,Bahia,Aracatu,
Brasil,São Paulo,Araçatuba,
Brasil,Bahia,Araci,
Brasil,Minas Gerais,Aracitaba,
Brasil,Pernambuco,Araçoiaba,
Brasil,Ceará,Aracoiaba,
Brasil,São Paulo,Araçoiaba da Serra,
Brasil,Espírito Santo,Aracruz,
Brasil,Goiás,Araçu,
Brasil,Minas Gerais,Araçuaí,
Brasil,Goiás,Aragarças,
Brasil,Goiás,Aragoiânia,
Brasil,Tocantins,Aragominas,
Brasil,Tocantins,Araguacema,
Brasil,Tocantins,Araguaçu,
Brasil,Mato Grosso,Araguaiana,
Brasil,Tocantins,Araguaína,
Brasil,Mato Grosso,Araguainha,
Brasil,Tocantins,Araguanã,
Brasil,Maranhão,Araguanã,
Brasil,Goiás,Araguapaz,
Brasil,Minas Gerais,Araguari,
Brasil,Tocantins,Araguatins,
Brasil,Maranhão,Araioses,
Brasil,Mato Grosso do Sul,Aral Moreira,
Brasil,Bahia,Aramari,
Brasil,Rio Grande do Sul,Arambaré,
Brasil,Maranhão,Arame,
Brasil,São Paulo,Aramina,
Brasil,São Paulo,Arandu,
Brasil,Minas Gerais,Arantina,
Brasil,São Paulo,Arapeí,
Brasil,Alagoas,Arapiraca,
Brasil,Tocantins,Arapoema,
Brasil,Minas Gerais,Araponga,
Brasil,Paraná,Arapongas,
Brasil,Minas Gerais,Araporã,
Brasil,Paraná,Arapoti,
Brasil,Paraná,Arapuã,
Brasil,Minas Gerais,Arapuá,
Brasil,Mato Grosso,Araputanga,
Brasil,Santa Catarina,Araquari,
Brasil,Paraíba,Arara,
Brasil,Santa Catarina,Araranguá,
Brasil,São Paulo,Araraquara,
Brasil,São Paulo,Araras,
Brasil,Ceará,Ararendá,
Brasil,Maranhão,Arari,
Brasil,Rio Grande do Sul,Araricá,
Brasil,Ceará,Araripe,
Brasil,Pernambuco,Araripina,
Brasil,Rio de Janeiro,Araruama,
Brasil,Paraná,Araruna,
Brasil,Paraíba,Araruna,
Brasil,Bahia,Arataca,
Brasil,Rio Grande do Sul,Aratiba,
Brasil,Ceará,Aratuba,
Brasil,Bahia,Aratuípe,
Brasil,Sergipe,Arauá,
Brasil,Paraná,Araucária,
Brasil,Minas Gerais,Araújos,
Brasil,Minas Gerais,Araxá,
Brasil,Minas Gerais,Arceburgo,
Brasil,São Paulo,Arco-Íris,
Brasil,Minas Gerais,Arcos,
Brasil,Pernambuco,Arcoverde,
Brasil,Minas Gerais,Areado,
Brasil,Rio de Janeiro,Areal,
Brasil,São Paulo,Arealva,
Brasil,Paraíba,Areia,
Brasil,Rio Grande do Norte,Areia Branca,
Brasil,Sergipe,Areia Branca,
Brasil,Paraíba,Areia de Baraúnas,
Brasil,Paraíba,Areial,
Brasil,São Paulo,Areias,
Brasil,São Paulo,Areiópolis,
Brasil,Mato Grosso,Arenápolis,
Brasil,Goiás,Arenópolis,
Brasil,Rio Grande do Norte,Arês,
Brasil,Minas Gerais,Argirita,
Brasil,Minas Gerais,Aricanduva,
Brasil,Minas Gerais,Arinos,
Brasil,Mato Grosso,Aripuanã,
Brasil,Rondônia,Ariquemes,
Brasil,São Paulo,Ariranha,
Brasil,Paraná,Ariranha do Ivaí,
Brasil,Rio de Janeiro,Armação dos Búzios,
Brasil,Santa Catarina,Armazém,
Brasil,Ceará,Arneiroz,
Brasil,Piauí,Aroazes,
Brasil,Paraíba,Aroeiras,
Brasil,Piauí,Aroeiras do Itaim,
Brasil,Piauí,Arraial,
Brasil,Rio de Janeiro,Arraial do Cabo,
Brasil,Tocantins,Arraias,
Brasil,Rio Grande do Sul,Arroio do Meio,
Brasil,Rio Grande do Sul,Arroio do Padre,
Brasil,Rio Grande do Sul,Arroio do Sal,
Brasil,Rio Grande do Sul,Arroio do Tigre,
Brasil,Rio Grande do Sul,Arroio dos Ratos,
Brasil,Rio Grande do Sul,Arroio Grande,
Brasil,Santa Catarina,Arroio Trinta,
Brasil,São Paulo,Artur Nogueira,
Brasil,Goiás,Aruanã,
Brasil,São Paulo,Arujá,
Brasil,Santa Catarina,Arvoredo,
Brasil,Rio Grande do Sul,Arvorezinha,
Brasil,Santa Catarina,Ascurra,
Brasil,São Paulo,Aspásia,
Brasil,Paraná,Assaí,
Brasil,Ceará,Assaré,
Brasil,São Paulo,Assis,
Brasil,Acre,Assis Brasil,
Brasil,Paraná,Assis Chateaubriand,
Brasil,Paraíba,Assunção,
Brasil,Piauí,Assunção do Piauí,
Brasil,Minas Gerais,Astolfo Dutra,
Brasil,Paraná,Astorga,
Brasil,Paraná,Atalaia,
Brasil,Alagoas,Atalaia,
Brasil,Amazonas,Atalaia do Norte,
Brasil,Santa Catarina,Atalanta,
Brasil,Minas Gerais,Ataléia,
Brasil,São Paulo,Atibaia,
Brasil,Espírito Santo,Atilio Vivacqua,
Brasil,Tocantins,Augustinópolis,
Brasil,Pará,Augusto Corrêa,
Brasil,Minas Gerais,Augusto de Lima,
Brasil,Rio Grande do Sul,Augusto Pestana,
Brasil,Rio Grande do Norte,Augusto Severo (Campo Grande),
Brasil,Rio Grande do Sul,Áurea,
Brasil,Bahia,Aurelino Leal,
Brasil,São Paulo,Auriflama,
Brasil,Goiás,Aurilândia,
Brasil,Ceará,Aurora,
Brasil,Santa Catarina,Aurora,
Brasil,Pará,Aurora do Pará,
Brasil,Tocantins,Aurora do Tocantins,
Brasil,Amazonas,Autazes,
Brasil,São Paulo,Avaí,
Brasil,São Paulo,Avanhandava,
Brasil,São Paulo,Avaré,
Brasil,Pará,Aveiro,
Brasil,Piauí,Avelino Lopes,
Brasil,Goiás,Avelinópolis,
Brasil,Maranhão,Axixá,
Brasil,Tocantins,Axixá do Tocantins,
Brasil,Tocantins,Babaçulândia,
Brasil,Maranhão,Bacabal,
Brasil,Maranhão,Bacabeira,
Brasil,Maranhão,Bacuri,
Brasil,Maranhão,Bacurituba,
Brasil,São Paulo,Bady Bassitt,
Brasil,Minas Gerais,Baependi,
Brasil,Rio Grande do Sul,Bagé,
Brasil,Pará,Bagre,
Brasil,Paraíba,Baía da Traição,
